segment_id,segment confidence,segment utterance count,best_sum_method,best_sum_score,no_summary,direct_summary,recursive_summary,aspect_summary,memory_summary
4395_11,0.8,8,aspect_summary,0.73109243697479,0.6985195154777928,0.5949367088607596,0.5755968169761273,0.73109243697479,0.546742209631728
4395_12,0.8,11,prior_summary,0.6852646638054363,0.5737024221453287,0.6641221374045801,0.6852646638054363,0.6673539518900344,0.5870036101083033
4395_13,0.9,5,aspect_summary,0.8648648648648649,0.3959731543624161,0.5238095238095237,0.46308724832214765,0.8648648648648649,0.7986577181208054
4395_14,0.8,17,memory_summary,1.0,1.0,0.9525801952580195,0.9047619047619048,0.9525801952580195,1.0
4395_15,0.9,12,aspect_summary,0.809775429326288,0.6187954996690933,0.7789473684210526,0.5818294959551961,0.809775429326288,0.646112600536193
4395_16,0.9,10,direct_summary,0.8134328358208955,0.7050691244239631,0.8134328358208955,0.736842105263158,0.7175639894086496,0.6135265700483092
4395_17,0.9,6,prior_summary,0.689922480620155,0.5872235872235871,0.5317073170731708,0.689922480620155,0.4545454545454546,0.5317073170731708
4395_18,1.0,6,direct_summary,0.653012048192771,0.5126903553299493,0.653012048192771,0.4600000000000001,0.653012048192771,0.645320197044335
4395_19,1.0,8,prior_summary,0.8279569892473118,0.6200527704485488,0.7433155080213903,0.8279569892473118,0.572192513368984,0.6981132075471699
4395_20,0.85,10,prior_summary,0.8823529411764706,0.4915254237288136,0.8260869565217391,0.8823529411764706,0.8785425101214575,0.7752808988764045
4395_21,0.85,11,prior_summary,0.7652439024390244,0.7327258921791951,0.6633511859219587,0.7652439024390244,0.7275541795665634,0.6733481811432813
2960_0,0.8,7,memory_summary,0.9014084507042254,0.7463768115942029,0.8035087719298246,0.710344827586207,0.6137931034482759,0.9014084507042254
2960_1,0.6,8,no_summary,0.5704697986577181,0.5704697986577181,0.5386631716906947,0.5300400534045394,0.4796747967479674,0.4120734908136483
2960_2,0.75,6,direct_summary,0.6938775510204082,0.6504854368932039,0.6938775510204082,0.5882352941176471,0.5951807228915662,0.5851851851851853
2960_3,0.9,8,aspect_summary,0.7068062827225131,0.6666666666666667,0.7048748353096179,0.6264591439688716,0.7068062827225131,0.6269430051813472
2960_4,0.9,8,memory_summary,0.7496740547588006,0.5404699738903394,0.41666666666666663,0.7105943152454781,0.5827900912646675,0.7496740547588006
2960_5,0.95,8,no_summary,0.6444444444444444,0.6444444444444444,0.3913043478260869,0.5909090909090908,0.4782608695652174,0.375
2960_6,0.9,12,aspect_summary,0.6675062972292192,0.38100820633059795,0.6065573770491803,0.653846153846154,0.6675062972292192,0.5862068965517241
2960_7,0.75,8,aspect_summary,0.9039039039039038,0.7090909090909091,0.6585365853658536,0.8588235294117648,0.9039039039039038,0.7740112994350282
2960_8,0.75,9,aspect_summary,0.64,0.5899772209567198,0.4729729729729729,0.46382978723404256,0.64,0.5945945945945945
2960_9,0.7,9,memory_summary,0.7744360902255639,0.6911764705882353,0.7524071526822558,0.6966292134831461,0.661744966442953,0.7744360902255639
2960_10,0.6499999999999999,7,prior_summary,0.6549295774647887,0.5985663082437276,0.65,0.6549295774647887,0.44202898550724645,0.6403669724770642
2960_11,0.6499999999999999,17,direct_summary,0.6835106382978724,0.4278846153846154,0.6835106382978724,0.6488056810845707,0.6316124920331421,0.5277777777777777
2960_12,0.75,14,memory_summary,0.6228109564436461,0.48802786242925555,0.4824399260628466,0.5387949718248808,0.5744300402324541,0.6228109564436461
2960_13,0.95,6,direct_summary,0.9408866995073891,0.8190954773869347,0.9408866995073891,0.4832535885167465,0.88,0.9408866995073891
2960_14,0.9,6,direct_summary,0.7046153846153846,0.5014836795252225,0.7046153846153846,0.6756756756756757,0.6444444444444444,0.6444444444444444
2960_15,0.9,8,prior_summary,0.8306878306878307,0.7131882202304738,0.7480314960629921,0.8306878306878307,0.5750332005312084,0.5767195767195767
2960_16,1.0,8,memory_summary,0.8297872340425532,0.6640419947506562,0.7863818424566088,0.666232073011734,0.7017310252996005,0.8297872340425532
